###################################################################################################
#                                                                                     3.5.5-Miranda
#          
#......................................................................../  022-047Ti //   3.500000
#                                                                                 SYSTEM PARAMETERS
#            AtomicNum    MassNum
#    Target         22         47
#  Incident          1          2
#            Ecms[MeV]  Elab[MeV] ReduceMass WaveNumber
                       28  4.2053     0.0526               0.3617 4.1349e-02
                       30  4.2545     0.0526               0.3125 4.1349e-02
                       31  4.3110     0.0526               0.2560 4.1349e-02
                       34  4.3877     0.0526               0.1793 4.1349e-02
                       37  4.4070     0.0526               0.1600 4.1349e-02
                       41  4.5350     0.0526               0.0320 4.1349e-02
 42  4.5641    8.0+                          1.4550e-01                       3.5000e-12
                       12  3.5086     0.0999               1.0555 1.4535e-02
                        9  3.3332     0.9001               1.2309 1.3095e-01
 41  4.5350    0.0+                          2.2371e-01
                       15  3.6995     0.3333               0.8355 7.4571e-02
                       27  4.1969     0.3333               0.3381 7.4571e-02
                       32  4.3480     0.3333               0.1870 7.4571e-02
 40  4.5300    3.0-                          1.2078e+00
                        1  0.9835     0.0625               3.5465 7.5487e-02
                        2  2.2957     0.0625               2.2343 7.5487e-02
                        3  2.4211     0.0625               2.1089 7.5487e-02
                        6  3.0620     0.0625               1.4680 7.5487e-02
                        7  3.2240     0.0625               1.3060 7.5487e-02
                        8  3.2398     0.0625               1.2902 7.5487e-02
                       11  3.3709     0.0625               1.1591 7.5487e-02
                       13  3.6168     0.0625               0.9132 7.5487e-02
                       14  3.6330     0.0625               0.8970 7.5487e-02
                       22  4.0352     0.0625               0.4948 7.5487e-02
                       24  4.0745     0.0625               0.4555 7.5487e-02
                       25  4.0770     0.0625               0.4530 7.5487e-02
                       33  4.3810     0.0625               0.1490 7.5487e-02
                       34  4.3877     0.0625               0.1423 7.5487e-02
                       37  4.4070     0.0625               0.1230 7.5487e-02
                       38  4.4575     0.0625               0.0725 7.5487e-02
 39  4.4720    3.0-                          1.2746e+00
                        1  0.9835     0.0625               3.4885 7.9662e-02
                        2  2.2957     0.0625               2.1763 7.9662e-02
                        3  2.4211     0.0625               2.0509 7.9662e-02
                        6  3.0620     0.0625               1.4100 7.9662e-02
                        7  3.2240     0.0625               1.2480 7.9662e-02
                        8  3.2398     0.0625               1.2322 7.9662e-02
                       11  3.3709     0.0625               1.1011 7.9662e-02
                       13  3.6168     0.0625               0.8552 7.9662e-02
                       14  3.6330     0.0625               0.8390 7.9662e-02
                       22  4.0352     0.0625               0.4368 7.9662e-02
                       24  4.0745     0.0625               0.3975 7.9662e-02
                       25  4.0770     0.0625               0.3950 7.9662e-02
                       33  4.3810     0.0625               0.0910 7.9662e-02
                       34  4.3877     0.0625               0.0843 7.9662e-02
                       37  4.4070     0.0625               0.0650 7.9662e-02
                       38  4.4575     0.0625               0.0145 7.9662e-02
 38  4.4575    3.0+                          1.3640e+00                       4.9000e-14
                       13  3.6168     0.0314               0.8406 4.2837e-02
                       11  3.3709     0.0192               1.0866 2.6146e-02
                        7  3.2240     0.0102               1.2335 1.3925e-02
                        3  2.4211     0.3287               2.0364 4.4821e-01
                        2  2.2957     0.3913               2.1618 5.3354e-01
                        1  0.9835     0.2192               3.4739 2.9873e-01
 37  4.4070    2.0+                          1.2303e+00
                       10  3.3588     0.1250               1.0482 1.5379e-01
                       15  3.6995     0.1250               0.7075 1.5379e-01
                       16  3.7110     0.1250               0.6960 1.5379e-01
                       19  3.8028     0.1250               0.6042 1.5379e-01
                       21  3.8523     0.1250               0.5547 1.5379e-01
                       27  4.1969     0.1250               0.2101 1.5379e-01
                       29  4.2100     0.1250               0.1970 1.5379e-01
                       32  4.3480     0.1250               0.0590 1.5379e-01
 36  4.4040    5.0-                          9.2608e-01                       4.2000e-14
                        9  3.3332     0.4707               1.0708 4.3589e-01
                        2  2.2957     0.5293               2.1083 4.8982e-01
 35  4.3980    5.0+                          9.0256e-01                       4.5000e-14
                       12  3.5086     0.7518               0.8894 6.7846e-01
                        2  2.2957     0.2482               2.1023 2.2394e-01
 34  4.3877    2.0+                          1.2473e+00                       3.5000e-14
                        7  3.2240     0.3462               1.1637 4.3178e-01
                        2  2.2957     0.3003               2.0920 3.7442e-01
                        1  0.9835     0.3535               3.4042 4.4053e-01
 33  4.3810    3.0+                          1.4805e+00                       2.4000e-14
                        8  3.2398     0.3103               1.1412 4.5937e-01
                        2  2.2957     0.6897               2.0853 1.0208e+00
 32  4.3480    1.0-                          1.1932e+00
                       15  3.6995     0.2284               0.6485 2.7243e-01
                       10  3.3588     0.3403               0.9892 4.0598e-01
                        1  0.9835     0.4313               3.3645 5.1388e-01
 31  4.3110    1.0+                          8.6676e-01                       2.2000e-15
                        3  2.4211     0.1104               1.8899 9.5666e-02
                        1  0.9835     0.3081               3.3275 2.6682e-01
                        0  0.0000     0.5815               4.3110 5.0344e-01
 30  4.2545    1.0+                          9.0852e-01
                       15  3.6995     1.0000               0.5550 9.0834e-01
 29  4.2100    2.0-                          1.5989e+00
                        1  0.9835     1.0000               3.2265 1.5968e+00
 28  4.2053    1.0+                          9.4604e-01
                        0  0.0000     1.0000               4.2053 9.4498e-01
 27  4.1969    1.0-                          1.3382e+00
                       20  3.8520     0.0973               0.3449 1.3017e-01
                       17  3.7386     0.1194               0.4583 1.5972e-01
                       15  3.6995     0.0575               0.4974 7.6921e-02
                        7  3.2240     0.4423               0.9729 5.9172e-01
                        0  0.0000     0.2835               4.1969 3.7870e-01
 26  4.1020    1.0+                          1.0281e+00
                       15  3.6995     0.5000               0.4025 5.1407e-01
                       19  3.8028     0.5000               0.2992 5.1407e-01
 25  4.0770    4.0+                          1.6032e+00
                        4  2.4650     0.1667               1.6120 2.6720e-01
                       10  3.3588     0.1667               0.7182 2.6720e-01
                       16  3.7110     0.1667               0.3660 2.6720e-01
                       18  3.7825     0.1667               0.2945 2.6720e-01
                       21  3.8523     0.1667               0.2247 2.6720e-01
                       23  4.0460     0.1667               0.0310 2.6720e-01
 24  4.0745    2.0+                          1.5914e+00                       3.5000e-14
                        8  3.2398     0.3355               0.8347 5.3383e-01
                        2  2.2957     0.0935               1.7789 1.4872e-01
                        1  0.9835     0.4922               3.0910 7.8271e-01
                        0  0.0000     0.0788               4.0745 1.2524e-01
 23  4.0460    5.0-                          2.2542e+00                       3.7000e-13
                        9  3.3332     0.0603               0.7128 1.3591e-01
                        8  3.2398     0.0900               0.8062 2.0292e-01
                        2  2.2957     0.8497               1.7503 1.9144e+00
 22  4.0352    2.0+                          1.5927e+00                       4.2000e-14
                        7  3.2240     0.3065               0.8112 4.8807e-01
                        3  2.4211     0.6935               1.6141 1.1043e+00
 21  3.8523    3.0-                          2.8880e+00                       4.5000e-14
                        3  2.4211     0.0501               1.4312 1.4460e-01
                        2  2.2957     0.2018               1.5566 5.8262e-01
                        1  0.9835     0.7481               2.8687 2.1580e+00
 20  3.8520    0.0+                          4.8092e-01
                       15  3.6995     1.0000               0.1525 4.8092e-01
 19  3.8028    2.0-                          2.7491e+00
                        1  0.9835     1.0000               2.8193 2.7459e+00
 18  3.7825    4.0-                          3.0055e+00                       1.2000e-12
                       10  3.3588     0.7294               0.4236 2.1911e+00
                        7  3.2240     0.0299               0.5585 8.9838e-02
                        2  2.2957     0.2407               1.4868 7.2315e-01
 17  3.7386    1.0+                          1.9396e+00                       2.6500e-15
                        3  2.4211     0.0779               1.3175 1.5102e-01
                        1  0.9835     0.2727               2.7550 5.2858e-01
                        0  0.0000     0.6495               3.7386 1.2585e+00
 16  3.7110    3.0-                          2.9217e+00
                        1  0.9835     1.0000               2.7275 2.9184e+00
 15  3.6995    1.0-                          4.2277e+00                       5.5000e-15
                        1  0.9835     0.6492               2.7160 2.7416e+00
                        0  0.0000     0.3508               3.6995 1.4807e+00
 14  3.6330    2.0+                          2.0693e+00                       1.0300e+01
                        1  0.9835     1.0000               2.6495 2.0682e+00
 13  3.6168    2.0+                          3.0440e+00                       4.2000e-14
                        3  2.4211     0.0731               1.1958 2.2247e-01
                        1  0.9835     0.9141               2.6333 2.7809e+00
                        0  0.0000     0.0128               3.6168 3.8923e-02
 12  3.5086    6.0+                          2.1247e+00                       1.4000e-12
                        9  3.3332     0.7590               0.1754 1.6055e+00
                        2  2.2957     0.2410               1.2129 5.1202e-01
 11  3.3709    2.0+                          2.6152e+00                       1.1000e-14
                        1  0.9835     0.8650               2.3873 2.2611e+00
                        0  0.0000     0.1350               3.3709 3.5272e-01
 10  3.3588    3.0-                          6.9984e+00                       1.8400e-13
                        3  2.4211     0.0146               0.9378 1.0189e-01
                        2  2.2957     0.0746               1.0632 5.2221e-01
                        1  0.9835     0.9108               2.3753 6.3686e+00
  9  3.3332    6.0+                          3.6936e+00                       2.2100e-13
                        2  2.2957     1.0000               1.0375 3.6932e+00
  8  3.2398    4.0+                          5.6202e+00                       4.6000e-14
                        2  2.2957     1.0000               0.9441 5.6196e+00
  7  3.2240    3.0+                          5.6062e+00                       2.9000e-14
                        3  2.4211     0.0347               0.8029 1.9455e-01
                        2  2.2957     0.2420               0.9283 1.3565e+00
                        1  0.9835     0.7233               2.2404 4.0534e+00
  6  3.0620    2.0+                          2.9887e+00
                        1  0.9835     1.0000               2.0785 2.9887e+00
  5  2.9972    0.0+                          5.8877e-01                       7.8000e-14
                        1  0.9835     1.0000               2.0137 5.8857e-01
  4  2.4650    4.0-                          5.7576e+00
                        2  2.2957     1.0000               0.1693 5.7576e+00
  3  2.4211    2.0+                          7.8858e+00                       2.7100e-14
                        1  0.9835     0.9486               1.4375 7.4795e+00
                        0  0.0000     0.0514               2.4211 4.0541e-01
  2  2.2957    4.0+                          3.1386e+01                       7.6200e-13
                        1  0.9835     1.0000               1.3121 3.1383e+01
  1  0.9835    2.0+                          8.8535e+01                       4.0400e-12
                        0  0.0000     1.0000               0.9835 8.8524e+01
  0  0.0000    0.0+                          9.8191e+01                       1.0000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                         ISOMERIC STATE PRODUCTION
#            022-048Ti
#   Ex[MeV]     Jpi     T(1/2)[s]  Prod.[mb]
 14  3.6330    2.0+    1.0300e+01 2.0693e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            021-045Sc      gamma     proton      alpha
 SpcSum[mb]            2.5358e+01 3.6319e-09 0.0000e+00
 Emean[MeV]            1.2531e+00 8.8426e-01 0.0000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           0 0 1 0 0 0             021-045Sc
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
 52  2.9798    1.5-                          8.3135e-02
                       14  1.5562     0.5207               1.4236 4.3284e-02
                        2  0.3765     0.4793               2.6033 3.9824e-02
 51  2.9640    2.5+                          1.1446e-01
                        6  0.9744     0.5000               1.9896 5.7229e-02
                        5  0.9392     0.5000               2.0248 5.7229e-02
 50  2.9600    4.5+                          1.1012e-01
                        0  0.0000     0.1111               2.9600 1.2235e-02
                        8  1.2367     0.1111               1.7233 1.2235e-02
                       10  1.3542     0.1111               1.6058 1.2235e-02
                       11  1.4089     0.1111               1.5511 1.2235e-02
                       15  1.6620     0.1111               1.2980 1.2235e-02
                       25  2.1062     0.1111               0.8538 1.2235e-02
                       32  2.2885     0.1111               0.6715 1.2235e-02
                       35  2.3410     0.1111               0.6190 1.2235e-02
                       40  2.5900     0.1111               0.3700 1.2235e-02
 49  2.9430    2.5+                          1.1695e-01
                        0  0.0000     0.0625               2.9430 7.3097e-03
                        2  0.3765     0.0625               2.5665 7.3097e-03
                        4  0.7201     0.0625               2.2229 7.3097e-03
                        7  1.0676     0.0625               1.8754 7.3097e-03
                       11  1.4089     0.0625               1.5341 7.3097e-03
                       14  1.5562     0.0625               1.3868 7.3097e-03
                       24  2.0930     0.0625               0.8500 7.3097e-03
                       25  2.1062     0.0625               0.8368 7.3097e-03
                       27  2.1384     0.0625               0.8046 7.3097e-03
                       30  2.2218     0.0625               0.7212 7.3097e-03
                       33  2.3038     0.0625               0.6392 7.3097e-03
                       35  2.3410     0.0625               0.6020 7.3097e-03
                       36  2.3522     0.0625               0.5908 7.3097e-03
                       40  2.5900     0.0625               0.3530 7.3097e-03
                       44  2.7470     0.0625               0.1960 7.3097e-03
                       46  2.8607     0.0625               0.0823 7.3097e-03
 48  2.9038    2.5+                          1.2171e-01
                        7  1.0676     0.6211               1.8362 7.5552e-02
                        3  0.5431     0.3789               2.3607 4.6094e-02
 47  2.8952    1.5+                          8.9056e-02                       7.0000e-15
                        3  0.5431     1.0000               2.3521 8.9015e-02
 46  2.8607    2.5-                          1.3169e-01
                        9  1.3032     0.5000               1.5575 6.5845e-02
                        4  0.7201     0.5000               2.1406 6.5845e-02
 45  2.7787    0.5-                          5.2860e-02
                        4  0.7201     0.3197               2.0586 1.6893e-02
                        2  0.3765     0.6803               2.4022 3.5943e-02
 44  2.7470    2.5-                          1.4643e-01
                        1  0.0124     0.0556               2.7346 8.1351e-03
                        3  0.5431     0.0556               2.2039 8.1351e-03
                        6  0.9744     0.0556               1.7726 8.1351e-03
                        9  1.3032     0.0556               1.4438 8.1351e-03
                       13  1.4725     0.0556               1.2745 8.1351e-03
                       16  1.7160     0.0556               1.0310 8.1351e-03
                       17  1.8000     0.0556               0.9470 8.1351e-03
                       18  1.9007     0.0556               0.8463 8.1351e-03
                       19  1.9306     0.0556               0.8164 8.1351e-03
                       20  1.9355     0.0556               0.8115 8.1351e-03
                       21  1.9356     0.0556               0.8114 8.1351e-03
                       28  2.1510     0.0556               0.5960 8.1351e-03
                       29  2.1520     0.0556               0.5950 8.1351e-03
                       31  2.2242     0.0556               0.5228 8.1351e-03
                       34  2.3215     0.0556               0.4255 8.1351e-03
                       37  2.3850     0.0556               0.3620 8.1351e-03
                       38  2.5310     0.0556               0.2160 8.1351e-03
                       41  2.6014     0.0556               0.1456 8.1351e-03
 43  2.7000    0.5+                          5.7970e-02
                        2  0.3765     0.1667               2.3235 9.6617e-03
                        7  1.0676     0.1667               1.6324 9.6617e-03
                       14  1.5562     0.1667               1.1438 9.6617e-03
                       27  2.1384     0.1667               0.5616 9.6617e-03
                       30  2.2218     0.1667               0.4782 9.6617e-03
                       36  2.3522     0.1667               0.3478 9.6617e-03
 42  2.6340    4.5+                          1.5376e-01
                        0  0.0000     0.1111               2.6340 1.7085e-02
                        8  1.2367     0.1111               1.3973 1.7085e-02
                       10  1.3542     0.1111               1.2798 1.7085e-02
                       11  1.4089     0.1111               1.2251 1.7085e-02
                       15  1.6620     0.1111               0.9720 1.7085e-02
                       25  2.1062     0.1111               0.5278 1.7085e-02
                       32  2.2885     0.1111               0.3455 1.7085e-02
                       35  2.3410     0.1111               0.2930 1.7085e-02
                       40  2.5900     0.1111               0.0440 1.7085e-02
 41  2.6014    2.5+                          1.7098e-01
                       14  1.5562     0.0934               1.0452 1.5972e-02
                        7  1.0676     0.3115               1.5338 5.3243e-02
                        3  0.5431     0.1090               2.0583 1.8630e-02
                        2  0.3765     0.1745               2.2249 2.9812e-02
                        1  0.0124     0.3116               2.5890 5.3246e-02
 40  2.5900    3.5-                          2.1221e-01                       3.5000e-14
                       14  1.5562     0.1250               1.0338 2.6523e-02
                        7  1.0676     0.2178               1.5224 4.6212e-02
                        4  0.7201     0.0607               1.8699 1.2880e-02
                        2  0.3765     0.3572               2.2135 7.5767e-02
                        0  0.0000     0.2393               2.5900 5.0752e-02
 39  2.5632    6.5+                          9.0175e-02                       1.0000e-12
                       26  2.1063     0.1884               0.4569 1.6983e-02
                       22  2.0312     0.1525               0.5320 1.3744e-02
                       12  1.4335     0.4484               1.1297 4.0427e-02
                        8  1.2367     0.2108               1.3265 1.9004e-02
 38  2.5310    2.5+                          1.8182e-01
                        9  1.3032     0.1400               1.2278 2.5450e-02
                        3  0.5431     0.5000               1.9879 9.0873e-02
                        1  0.0124     0.3601               2.5186 6.5432e-02
 37  2.3850    2.5+                          2.0591e-01
                        0  0.0000     0.0769               2.3850 1.5840e-02
                        2  0.3765     0.0769               2.0085 1.5840e-02
                        4  0.7201     0.0769               1.6649 1.5840e-02
                        7  1.0676     0.0769               1.3174 1.5840e-02
                       11  1.4089     0.0769               0.9761 1.5840e-02
                       14  1.5562     0.0769               0.8288 1.5840e-02
                       24  2.0930     0.0769               0.2920 1.5840e-02
                       25  2.1062     0.0769               0.2788 1.5840e-02
                       27  2.1384     0.0769               0.2466 1.5840e-02
                       30  2.2218     0.0769               0.1632 1.5840e-02
                       33  2.3038     0.0769               0.0812 1.5840e-02
                       35  2.3410     0.0769               0.0440 1.5840e-02
                       36  2.3522     0.0769               0.0328 1.5840e-02
 36  2.3522    1.5-                          1.8423e-01                       4.2000e-14
                       14  1.5562     0.2057               0.7960 3.7891e-02
                        7  1.0676     0.0875               1.2846 1.6127e-02
                        4  0.7201     0.4378               1.6321 8.0645e-02
                        1  0.0124     0.2453               2.3398 4.5153e-02
                        0  0.0000     0.0237               2.3522 4.3550e-03
 35  2.3410    3.5-                          2.7181e-01                       3.1000e-14
                       11  1.4089     0.4115               0.9321 1.1184e-01
                        4  0.7201     0.1768               1.6209 4.8049e-02
                        0  0.0000     0.4117               2.3410 1.1185e-01
 34  2.3215    2.5+                          2.1706e-01                       4.5000e-14
                        1  0.0124     0.6896               2.3091 1.4962e-01
                        0  0.0000     0.3104               2.3215 6.7317e-02
 33  2.3038    2.5-                          2.3191e-01                       5.5000e-14
                       15  1.6620     0.0868               0.6418 2.0124e-02
                        7  1.0676     0.3471               1.2362 8.0488e-02
                        2  0.3765     0.3194               1.9273 7.4050e-02
                        1  0.0124     0.2467               2.2914 5.7162e-02
 32  2.2885    4.5-                          2.3673e-01                       2.1000e-13
                        8  1.2367     0.3416               1.0518 8.0868e-02
                        6  0.9744     0.2416               1.3141 5.7190e-02
                        0  0.0000     0.4167               2.2885 9.8613e-02
 31  2.2242    2.5+                          2.3473e-01
                       12  1.4335     0.2187               0.7907 5.1319e-02
                        9  1.3032     0.1016               0.9210 2.3843e-02
                        4  0.7201     0.3907               1.5041 9.1672e-02
                        3  0.5431     0.2891               1.6811 6.7841e-02
                        1  0.0124     0.0000               2.2118 0.0000e+00
                        0  0.0000     0.0000               2.2242 0.0000e+00
 30  2.2218    1.5-                          2.0179e-01
                        1  0.0124     0.6803               2.2094 1.3717e-01
                        0  0.0000     0.3197               2.2218 6.4484e-02
 29  2.1520    1.5+                          1.8283e-01
                       14  1.5562     0.4000               0.5958 7.3123e-02
                        7  1.0676     0.2080               1.0844 3.8028e-02
                        3  0.5431     0.3920               1.6089 7.1660e-02
 28  2.1510    1.5+                          1.8297e-01                       6.0000e-14
                        9  1.3032     0.0999               0.8478 1.8275e-02
                        1  0.0124     0.9001               2.1386 1.6463e-01
 27  2.1384    1.5-                          2.1351e-01                       3.1000e-13
                       14  1.5562     0.2857               0.5822 6.0979e-02
                        0  0.0000     0.7143               2.1384 1.5245e-01
 26  2.1063    7.5-                          1.0280e-01                       1.4000e-12
                        8  1.2367     1.0000               0.8696 1.0278e-01
 25  2.1062    3.5-                          3.1827e-01
                        7  1.0676     1.0000               1.0386 3.1824e-01
 24  2.0930    2.5-                          2.7131e-01                       8.3000e-15
                        9  1.3032     0.1994               0.7898 5.4099e-02
                        7  1.0676     0.0798               1.0254 2.1643e-02
                        2  0.3765     0.0559               1.7165 1.5151e-02
                        0  0.0000     0.6650               2.0930 1.8035e-01
 23  2.0900    7.5-                          8.7091e-02
                        8  1.2367     1.0000               0.8533 8.7091e-02
 22  2.0312    5.5+                          2.1764e-01                       7.6000e-13
                       12  1.4335     0.4762               0.5977 1.0362e-01
                        8  1.2367     0.0571               0.7945 1.2436e-02
                        6  0.9744     0.4666               1.0568 1.0155e-01
 21  1.9356    1.5+                          2.1360e-01                       6.1000e-14
                        2  0.3765     1.0000               1.5591 2.1353e-01
 20  1.9355    1.5+                          2.1361e-01                       3.2000e-14
                        0  0.0000     1.0000               1.9355 2.1358e-01
 19  1.9306    1.5+                          2.1433e-01
                        5  0.9392     1.0000               0.9914 2.1431e-01
 18  1.9007    3.5+                          3.1088e-01
                        7  1.0676     1.0000               0.8331 3.1078e-01
 17  1.8000    2.5+                          3.1919e-01                       6.5000e-14
                        9  1.3032     0.1220               0.4968 3.8929e-02
                        7  1.0676     0.0315               0.7324 1.0047e-02
                        4  0.7201     0.0315               1.0799 1.0048e-02
                        3  0.5431     0.2440               1.2569 7.7878e-02
                        2  0.3765     0.0905               1.4235 2.8887e-02
                        1  0.0124     0.3935               1.7876 1.2558e-01
                        0  0.0000     0.0870               1.8000 2.7756e-02
 16  1.7160    3.5+                          3.5239e-01
                        0  0.0000     0.2500               1.7160 8.8098e-02
                        4  0.7201     0.2500               0.9959 8.8098e-02
                       11  1.4089     0.2500               0.3071 8.8098e-02
                       15  1.6620     0.2500               0.0540 8.8098e-02
 15  1.6620    4.5-                          4.7534e-01                       9.8000e-14
                       11  1.4089     0.0891               0.2531 4.2310e-02
                        8  1.2367     0.1302               0.4253 6.1859e-02
                        4  0.7201     0.0959               0.9419 4.5564e-02
                        0  0.0000     0.6848               1.6620 3.2546e-01
 14  1.5562    1.5-                          5.6091e-01                       2.8000e-13
                        7  1.0676     0.7430               0.4886 4.1659e-01
                        5  0.9392     0.0661               0.6170 3.7075e-02
                        3  0.5431     0.1486               1.0131 8.3343e-02
                        2  0.3765     0.0423               1.1797 2.3746e-02
 13  1.4725    3.5+                          4.1101e-01
                        4  0.7201     0.5000               0.7524 2.0551e-01
                        0  0.0000     0.5000               1.4725 2.0551e-01
 12  1.4335    4.5+                          6.0312e-01                       3.6000e-12
                        8  1.2367     0.0271               0.1968 1.6293e-02
                        6  0.9744     0.1825               0.4591 1.1001e-01
                        3  0.5431     0.6755               0.8904 4.0737e-01
                        0  0.0000     0.1149               1.4335 6.9275e-02
 11  1.4089    3.5-                          7.1580e-01                       2.5700e-13
                        4  0.7201     0.0659               0.6888 4.7159e-02
                        2  0.3765     0.0436               1.0324 3.1227e-02
                        0  0.0000     0.8905               1.4089 6.3734e-01
 10  1.3542    5.5-                          3.6094e-01
                        0  0.0000     1.0000               1.3542 3.6090e-01
  9  1.3032    1.5+                          5.3910e-01                       2.3000e-12
                        3  0.5431     0.4566               0.7601 2.4611e-01
                        2  0.3765     0.2055               0.9267 1.1078e-01
                        1  0.0124     0.3379               1.2908 1.8215e-01
  8  1.2367    5.5-                          7.6519e-01                       1.8000e-12
                        0  0.0000     1.0000               1.2367 7.6513e-01
  7  1.0676    1.5-                          1.7791e+00                       2.8000e-13
                        4  0.7201     0.2296               0.3475 4.0815e-01
                        2  0.3765     0.7401               0.6911 1.3164e+00
                        0  0.0000     0.0303               1.0676 5.3970e-02
  6  0.9744    3.5+                          8.7821e-01                       2.5400e-12
                        3  0.5431     0.1031               0.4313 9.0499e-02
                        1  0.0124     0.3145               0.9620 2.7617e-01
                        0  0.0000     0.5824               0.9744 5.1145e-01
  5  0.9392    0.5+                          5.1283e-01                       7.3000e-12
                        2  0.3765     0.1729               0.5627 8.8653e-02
                        1  0.0124     0.8271               0.9268 4.2411e-01
  4  0.7201    2.5-                          1.7262e+00                       2.0600e-13
                        1  0.0124     0.0347               0.7077 5.9976e-02
                        0  0.0000     0.9653               0.7201 1.6659e+00
  3  0.5431    2.5+                          1.9508e+00                       5.5000e-12
                        2  0.3765     0.0041               0.1666 7.9752e-03
                        1  0.0124     0.5842               0.5307 1.1391e+00
                        0  0.0000     0.4117               0.5431 8.0307e-01
  2  0.3765    1.5-                          2.6499e+00                       4.3300e-11
                        1  0.0124     0.9164               0.3641 2.4271e+00
                        0  0.0000     0.0836               0.3765 2.2112e-01
  1  0.0124    1.5+                          5.9311e+00                       3.1800e-01
                        0  0.0000     1.0000               0.0124 9.3698e-03
  0  0.0000    3.5-                          1.3569e+01                       1.0000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                         ISOMERIC STATE PRODUCTION
#            021-045Sc
#   Ex[MeV]     Jpi     T(1/2)[s]  Prod.[mb]
  1  0.0124    1.5+    3.1800e-01 5.9311e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            022-047Ti      gamma
 SpcSum[mb]            1.1017e-01
 Emean[MeV]            2.9756e-01
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           0 0 0 1 0 0             022-047Ti
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
 39  3.0515    2.5-                          4.7395e-17                       4.3000e-13
                       29  2.7851     0.0705               0.2664 3.3360e-18
                        3  1.2521     0.4693               1.7994 2.2237e-17
                        1  0.1594     0.4602               2.8921 2.1796e-17
 38  3.0331    2.5-                          1.7448e-16                       4.1000e-13
                       11  2.2595     0.1590               0.7736 2.7739e-17
                        3  1.2521     0.1420               1.7810 2.4770e-17
                        1  0.1594     0.5683               2.8737 9.9087e-17
                        0  0.0000     0.1307               3.0331 2.2787e-17
 37  2.8680    3.5+                          3.1187e-12
                        0  0.0000     0.0714               2.8680 2.2276e-13
                        1  0.1594     0.0714               2.7086 2.2276e-13
                        3  1.2521     0.0714               1.6159 2.2276e-13
                       10  2.1667     0.0714               0.7013 2.2276e-13
                       12  2.2971     0.0714               0.5709 2.2276e-13
                       15  2.4062     0.0714               0.4618 2.2276e-13
                       16  2.4163     0.0714               0.4517 2.2276e-13
                       19  2.5258     0.0714               0.3422 2.2276e-13
                       22  2.5996     0.0714               0.2684 2.2276e-13
                       23  2.6194     0.0714               0.2486 2.2276e-13
                       28  2.7576     0.0714               0.1104 2.2276e-13
                       32  2.8095     0.0714               0.0585 2.2276e-13
                       33  2.8285     0.0714               0.0395 2.2276e-13
                       35  2.8463     0.0714               0.0217 2.2276e-13
 36  2.8550    2.5+                          5.0106e-12
                        0  0.0000     1.0000               2.8550 5.0047e-12
 35  2.8463    2.5-                          7.5647e-12                       1.9000e-14
                        3  1.2521     0.4185               1.5942 3.1653e-12
                        1  0.1594     0.5815               2.6869 4.3962e-12
 34  2.8389    1.5-                          7.0576e-12                       3.3000e-14
                        1  0.1594     0.8333               2.6795 5.8773e-12
                        0  0.0000     0.1667               2.8389 1.1757e-12
 33  2.8285    3.5-                          1.5718e-11                       1.6000e-13
                       16  2.4163     0.3491               0.4122 5.4811e-12
                        8  1.8250     0.2912               1.0035 4.5768e-12
                        0  0.0000     0.3597               2.8285 5.6500e-12
 32  2.8095    2.5-                          3.0646e-11                       4.9000e-14
                        3  1.2521     0.2423               1.5574 7.4244e-12
                        0  0.0000     0.7577               2.8095 2.3205e-11
 31  2.8002    1.5+                          3.0474e-11                       3.5000e-13
                        0  0.0000     1.0000               2.8002 3.0439e-11
 30  2.7932    0.5-                          1.8817e-11
                        5  1.5496     0.7935               1.2436 1.4930e-11
                        0  0.0000     0.2065               2.7932 3.8829e-12
 29  2.7851    1.5+                          5.1674e-11
                        0  0.0000     1.0000               2.7851 5.1616e-11
 28  2.7576    3.5-                          1.8672e-10                       1.7000e-14
                        4  1.4443     0.7407               1.3134 1.3829e-10
                        3  1.2521     0.2593               1.5055 4.8410e-11
 27  2.7489    7.5-                          3.7561e-11                       1.1100e-12
                        4  1.4443     1.0000               1.3046 3.7557e-11
 26  2.6950    1.5+                          8.1365e-10
                        0  0.0000     0.1111               2.6950 9.0406e-11
                        2  1.2507     0.1111               1.4443 9.0406e-11
                        5  1.5496     0.1111               1.1453 9.0406e-11
                        7  1.7938     0.1111               0.9012 9.0406e-11
                        9  2.1632     0.1111               0.5318 9.0406e-11
                       10  2.1667     0.1111               0.5283 9.0406e-11
                       12  2.2971     0.1111               0.3979 9.0406e-11
                       19  2.5258     0.1111               0.1692 9.0406e-11
                       20  2.5482     0.1111               0.1468 9.0406e-11
